A3K8PRP6YITVBD,POOR,36.62,535,96.57%,3738,93.1%,100%,0,89.02%,DNR_DPMO
A3KCDV9GRY8A76,FAIR,59.71,765,95.86%,1307,96.15%,100%,0,94.35%,DCR
A3L4IZOJ8WQF5F,FANTASTIC,92.62,996,99.1%,1004,97.76%,100%,0,96.4%,DCR
A3LCNCZIT5Y04G,GREAT,81.13,725,98.51%,-,95.71%,100%,0,92.87%,DCR
A3LVUUIKKFSBV2,POOR,36.57,1017,97.6%,2950,100%,55.56%,0,88.41%,DNR_DPMO
A3RK5EAMQYPDRN,POOR,47.61,961,95.34%,1041,95.47%,33.33%,0,93.42%,DCR
A3S9RQ9UNUSKRJ,FANTASTIC_PLUS,95.15,1657,98.87%,-,100%,100%,0,91.17%,DCR
A3T40BS4H21A8R,FANTASTIC,92.66,720,98.77%,1389,100%,100%,0,100%,DCR
A4JQ04T1QMR96,GREAT,79.5,867,98.86%,1153,100%,97.37%,3,97.32%,CE
A7CKG67PD4DJ3,GREAT,73.35,1166,98.15%,1715,99.64%,66.67%,0,84.11%,DCR
A970M5C1CZUFR,FAIR,61.58,596,96.6%,0,98.9%,57.14%,0,100%,DCR
A9PB50LTL53FU,POOR,46.21,654,94.37%,1529,94.95%,35.71%,0,100%,DCR
AC5OZBR8YZB2D,GREAT,84.48,1098,99.19%,-,99.07%,57.14%,0,100%,DCR
ADZPG91CYSQPR,FANTASTIC,85.78,318,99.38%,0,83.33%,100%,0,100%,DCR
AEMUSNA12OGYN,FANTASTIC,92.35,1137,99.13%,880,99.32%,93.33%,0,97.92%,DCR
AFU9XEBWPRG9F,POOR,45.93,266,98.88%,3759,66.67%,0%,0,100%,DNR_DPMO
AFX3474HG6TRF,GREAT,71.73,677,97.41%,1477,100%,100%,0,100%,DCR
AGXRR3R43PPSG,FANTASTIC,88.71,726,98.78%,1377,99.21%,92.31%,0,97.22%,DCR
AHHL3IDS1F4CE,GREAT,72.5,148,97.37%,-,100%,100%,0,-,DCR
AIG3GEU16Y2XT,FAIR,64.88,482,99.18%,2075,90.91%,28.57%,0,94.01%,DNR_DPMO
AIPFFSJDQU2BZ,FANTASTIC,91.07,1050,99.53%,1905,98.55%,100%,0,100%,DNR_DPMO
AJI0JQM0XY891,POOR,46.25,774,97.97%,5168,97%,100%,0,100%,DNR_DPMO
ALWQZ04OH7Z4H,FANTASTIC_PLUS,98.04,932,99.47%,0,100%,100%,0,93.95%,DCR
AOM4JO10U37K3,FAIR,50,140,97.22%,-,89.66%,50%,0,100%,DCR
AUDN80NKM5GGG,FAIR,67.59,1195,96.53%,1674,99.73%,97.11%,0,94.55%,DCR
AV56DNZUV7DLS,GREAT,74.88,917,98.29%,1091,97.41%,0%,0,88.88%,DCR
AVEXODGGU7NCT,FANTASTIC,92.55,549,98.92%,-,97.06%,100%,0,100%,DCR
AWEYVV6IF9V9P,GREAT,78.19,1041,100%,1921,95.96%,94.44%,0,97.83%,DNR_DPMO
AYSXO6PAJOS63,FAIR,68.59,1135,96.68%,1762,99.05%,100%,0,100%,DCR
A10364JM26IMRE,GREAT,83.58,1222,99.11%,0,98.32%,84.62%,0,100%,CC
A122ODQB3A8M7,FAIR,62.5,1576,97.71%,0,96.52%,100%,0,100%,DCR
A184K3WUX288KE,FANTASTIC,91.15,1343,99.33%,745,98.74%,90%,0,91.48%,DNR_DPMO
A1AR6L0JDYL5KI,GREAT,70.7,732,98.92%,5464,99.25%,100%,0,95.28%,DNR_DPMO
A1B8U1WJMIJ0TX,GREAT,84.4,1279,98.99%,-,99.4%,50%,0,100%,DCR
A1G26658J3TWZZ,GREAT,83.92,1604,99.44%,623,96.58%,100%,0,90.43%,DNR_DPMO
A1HZJZZ5LYOK43,GREAT,71.97,1733,99.09%,2308,99.72%,100%,0,93.48%,DNR_DPMO
A1JQ9UW8D71KSX,GREAT,77.13,1250,98.5%,800,90.77%,94.12%,0,100%,DCR
A1K18VKRC6WQ2T,GREAT,74.01,109,100%,91743,98.81%,-,0,100%,DNR_DPMO
A1LFH4TNLJQKHX,GREAT,73.84,709,99.86%,7052,100%,100%,0,89.98%,DNR_DPMO
A1LPQSY88A81WT,GREAT,72.58,1124,99.03%,1779,100%,100%,0,100%,DNR_DPMO
A1M39IT8RTEY0E,POOR,45.67,1072,99.35%,1866,89.38%,100%,1,82.08%,DNR_DPMO
A1Y1BMIL6SS8PT,FAIR,58.3,253,98.83%,7905,100%,100%,0,77.83%,DNR_DPMO
A1ZQ5MTBTA9QH,GREAT,72.35,1417,99.3%,2823,100%,100%,0,88.87%,DNR_DPMO
A205W0HCLELAJS,GREAT,79.34,1033,98.57%,968,89.22%,100%,0,95.5%,DNR_DPMO
A21OVR8JA1M5W4,FANTASTIC,89.58,1432,99.79%,1397,99.02%,93.33%,0,94.11%,DNR_DPMO
A232EYRDDH0YM1,FAIR,58.68,1680,99.64%,2381,97.92%,85.71%,0,96.04%,DNR_DPMO
A23B15FU3EDI0U,FAIR,65.59,239,98.35%,12552,100%,100%,0,81.34%,DNR_DPMO
A23IL4XRGY2VIL,FAIR,60.02,1059,99.16%,3777,86.74%,100%,0,95.34%,DNR_DPMO
A23KJHYNQNXW94,FANTASTIC,91.3,1329,99.85%,1505,98.45%,100%,0,93.77%,DNR_DPMO
A24EJ2KSPHNNBH,FANTASTIC_PLUS,98.58,310,99.68%,-,100%,100%,0,92.31%,DEX
A26QPNNX3MICJJ,FANTASTIC_PLUS,95.68,1608,99.01%,622,100%,100%,0,94.58%,DCR
A273KWGUMRL1WC,POOR,24.01,976,97.7%,2049,99.13%,86.96%,1,96.62%,DNR_DPMO
A2BT5D2CNM2TPP,GREAT,80.47,845,98.14%,0,100%,61.11%,0,100%,DCR
A2E1JE8HWDAYFD,FAIR,68.95,870,99.2%,2299,100%,90.91%,0,93.44%,DNR_DPMO
A2E367ALAQ55WU,FAIR,68.31,1111,99.73%,2700,97.96%,92.86%,0,94.57%,DNR_DPMO
A2G7TKYRH6TOHH,FANTASTIC_PLUS,93.34,1416,99.44%,706,99.28%,94.16%,0,95.64%,DNR_DPMO
A2HRUK8ODRO098,FANTASTIC_PLUS,94.96,1378,99.64%,726,98.39%,100%,0,87.95%,DNR_DPMO
A2JJKWAPCT8P6O,FANTASTIC_PLUS,96.2,1139,99.56%,878,99.73%,100%,0,93.97%,DNR_DPMO
A2KIRIQ6B5K8SL,GREAT,80.43,157,98.13%,-,100%,-,1,100%,CE
A2LMN9SX6GMGCX,GREAT,79.5,748,99.34%,1337,99.56%,0%,0,91.04%,DNR_DPMO
A2N61EPIL8FU50,POOR,37.22,1271,97.69%,3147,100%,80%,0,96.5%,DNR_DPMO
A2SM57VM6I6R5D,POOR,48.83,681,97.01%,4405,100%,100%,0,85.49%,DNR_DPMO
A310CF4Y58T2A2,GREAT,82.08,1116,99.02%,896,89.34%,100%,0,88.47%,DNR_DPMO
A324T0PLMW2V16,FAIR,61.62,1438,99.93%,3477,96.89%,100%,0,91.22%,DNR_DPMO
A36RWV5ROMTHKN,FANTASTIC,86.3,622,99.52%,-,96.7%,-,0,100%,DCR
A39FXN38RKBA0N,FAIR,61.52,1029,99.71%,2915,94.58%,100%,0,96.78%,DNR_DPMO
A3D8QGOAV1JTVJ,FAIR,67.89,1575,98.75%,-,95.65%,33.33%,0,83.13%,CC
A3E4Z0CBZXKUT1,FANTASTIC,85.5,1075,99.54%,-,96.84%,100%,0,89.5%,POD
A3I27WNJRJFRPJ,POOR,48.67,1006,96.82%,3976,99.03%,100%,0,93.52%,DNR_DPMO
A3JFR3B6THUOZE,FAIR,69.45,1408,98.67%,-,96.6%,60%,0,96.54%,CC
A3KNTPQMSDQQEG,FANTASTIC_PLUS,95.99,1335,99.63%,749,98.57%,100%,0,97.57%,DNR_DPMO
A3Q40JE574E2XQ,POOR,24.09,1175,95.61%,3404,96.77%,85.71%,0,88.72%,DNR_DPMO
A3UVP9U3VCN04X,GREAT,73.95,1176,99.58%,3401,100%,100%,0,100%,DNR_DPMO
A57FHOR6I3RVR,FANTASTIC_PLUS,93.11,1002,99.6%,998,97.1%,100%,0,100%,DNR_DPMO
AAE689OECTMO0,FANTASTIC_PLUS,97.5,1142,99.22%,-,99.77%,100%,0,95.52%,DCR
AC11ISIJQI4CP,GREAT,84.39,1289,99.69%,776,93.64%,100%,0,92.79%,DNR_DPMO
AFXK0BXU69Y2F,FANTASTIC,92.14,1456,99.25%,687,98.57%,92.86%,0,97.39%,DNR_DPMO
APXODYD1SCWLT,GREAT,82.99,1169,98.98%,0,98.92%,66.67%,0,88.7%,DCR
AR4NBL75QDBLA,FAIR,69.77,1422,98.68%,2110,100%,100%,0,100%,DNR_DPMO
AS0KK9KBUN8DO,FANTASTIC_PLUS,96.73,1377,99.35%,726,100%,100%,0,100%,DNR_DPMO
ATB0R7J3YXR9U,FANTASTIC,92.39,1353,100%,1478,98.78%,100%,0,96.01%,DNR_DPMO
A16VSBDVWGO1AM,FANTASTIC_PLUS,98.2,305,99.35%,0,100%,100%,0,100%,DCR
A174B3WJFH38MV,FANTASTIC,92.22,1270,99.22%,787,100%,92.86%,0,90.17%,DNR_DPMO
A1B8U1WJMIJ0TX,POOR,45,315,98.75%,12698,100%,0%,1,100%,DNR_DPMO
A1BC9YN9NCBUS,FANTASTIC_PLUS,97.48,942,99.16%,-,100%,100%,0,97.62%,DCR
A1ETXSPHUGD7LN,FAIR,60.18,978,97.02%,1022,100%,89.47%,0,100%,DCR
A1S4F6JMS94IQI,FANTASTIC_PLUS,100,100,100%,-,100%,-,0,-,-
A1ULTTNN14LLJ2,FANTASTIC_PLUS,93.39,936,98.84%,-,98.41%,100%,0,90.37%,DCR
A1Y06N9ZPMC3TD,FANTASTIC_PLUS,96.51,1092,99.82%,916,99.15%,100%,0,97.48%,DNR_DPMO
A1Y1BMIL6SS8PT,FANTASTIC_PLUS,94.24,1035,98.95%,966,100%,100%,0,100%,DCR
A1YEESS4TBTRIY,FANTASTIC_PLUS,98.11,726,99.32%,-,100%,100%,0,100%,DCR
A1YGLT6OAJGBWC,GREAT,79.72,1231,98.72%,812,99.7%,66.67%,0,92.69%,DNR_DPMO
A1Z22YRSC4HN45,FANTASTIC_PLUS,96.33,1071,99.44%,934,100%,100%,0,100%,DNR_DPMO
A205W0HCLELAJS,POOR,37.5,210,97.22%,14286,42.31%,100%,0,100%,DNR_DPMO
A24EJ2KSPHNNBH,FANTASTIC,87.74,1370,98.63%,730,98.33%,93.33%,0,92.39%,DCR
A25YIO5GU1WRGQ,FANTASTIC,92.03,814,98.79%,-,97.39%,100%,0,100%,DCR
A2672ZQHS62UQD,FAIR,59.59,1088,99.36%,7353,99.2%,75%,0,94.23%,DNR_DPMO
